The Article
{change Verb}
{charge Verb}
{check Verb}
{choose Verb}
{claim Verb}
{climb Verb}
{close Verb}
{coach Verb}
{collect Verb}
{combine Verb}
{come Verb}
{comfort Verb}
{commit Verb}
{communicate Verb}
{compare Verb}
{compete Verb}
{complain Verb}
{complete Verb}
{compose Verb}
{concentrate Verb}
{concern Verb}
{conclude Verb}
{conduct Verb}
{confess Verb}
{confirm Verb}
{connect Verb}
{consider Verb}
{consist Verb}
{constitute Verb}
{construct Verb}
{consult Verb}
{contain Verb}
{continue Verb}
{contribute Verb}
{control Verb}
{convert Verb}
{cook Verb}
{cope Verb}
{copy Verb}
{correct Verb}
{cost Verb}
{count Verb}
{cover Verb}
{crack Verb}
{crash Verb}
{create Verb}
{cross Verb}
{cry Verb}
{cut Verb}
{damage Verb}
{dance Verb}
{dare Verb}
{deal Verb}
{debate Verb}
{decide Verb}
{declare Verb}
{decorate Verb}
{decrease Verb}
{defer Verb}
{define Verb}
{delay Verb}
{deliver Verb}
{demand Verb}
{demonstrate Verb}
{depend Verb}
{describe Verb}
{deserve Verb}
{design Verb}
{desire Verb}
{destroy Verb}
{detail Verb}
{detect Verb}
{determine Verb}
{develop Verb}
{devote Verb}
{die Verb}
{differ Verb}
{dig Verb}
{diminish Verb}
{direct Verb}
{disagree Verb}
{disappear Verb}
{disapprove Verb}
{discharge Verb}
{discover Verb}
{discuss Verb}
{display Verb}
{distinguish Verb}
{distribute Verb}
{disturb Verb}
{dive Verb}
{divide Verb}
{do Verb}
{dominate Verb}
{double Verb}
{doubt Verb}
{drag Verb}
{draw Verb}
{dream Verb}
{dress Verb}
{drink Verb}
{drive Verb}
{drop Verb}
{dry Verb}
{earn Verb}
{eat Verb}
{echo Verb}
{edit Verb}
{educate Verb}
{effect Verb}
{elaborate Verb}
{elect Verb}
{eliminate Verb}
{embark Verb}
{embrace Verb}
{employ Verb}
{empower Verb}
{empty Verb}
{enable Verb}
{encourage Verb}
{end Verb}
{engage Verb}
{enhance Verb}
{enjoy Verb}
{enlarge Verb}
{enroll Verb}
{ensure Verb}
{enter Verb}
{establish Verb}
{estimate Verb}
{evaluate Verb}
{evolve Verb}
{examine Verb}
{exceed Verb}
{exchange Verb}
{excite Verb}
{excuse Verb}
{execute Verb}
{exercise Verb}
{exhibit Verb}
{exist Verb}
{expand Verb}
{expect Verb}
{expel Verb}
{experience Verb}
{experiment Verb}
{explain Verb}
{explore Verb}
{express Verb}
{extend Verb}
{face Verb}
{facilitate Verb}
{fade Verb}
{fail Verb}
{faint Verb}
{fall Verb}
{fare Verb}
{farm Verb}
{fasten Verb}
{favor Verb}
{fear Verb}
{feed Verb}
{feel Verb}
{fetch Verb}
{fight Verb}
{figure Verb}
{fill Verb}
{finance Verb}
{find Verb}
{finish Verb}
{fit Verb}
{fix Verb}
{flash Verb}
{flee Verb}
{float Verb}
{flood Verb}
{flow Verb}
{fly Verb}
{fold Verb}
{follow Verb}
{forbid Verb}
{force Verb}
{forecast Verb}
{forget Verb}
{forgive Verb}
{form Verb}
{formulate Verb}
{foster Verb}
{found Verb}
{frame Verb}
{freeze Verb}
{fulfill Verb}
{function Verb}
{fund Verb}
{gain Verb}
{gather Verb}
{gaze Verb}
{generate Verb}
{get Verb}
{give Verb}
{glance Verb}
{go Verb}
{grab Verb}
{grade Verb}
{grant Verb}
{greet Verb}
{grin Verb}
{grip Verb}
{grow Verb}
{guarantee Verb}
{guard Verb}
{guess Verb}
{guide Verb}
{handle Verb}
{happen Verb}
{harass Verb}
{harm Verb}
{harness Verb}
{hate Verb}
{haul Verb}
{have Verb}
{head Verb}
{heal Verb}
{hear Verb}
{heat Verb}
{help Verb}
{hesitate Verb}
{hide Verb}
{highlight Verb}
{hinder Verb}
{hire Verb}
{hit Verb}
{hold Verb}
{honor Verb}
{hope Verb}
{host Verb}
{house Verb}
{hug Verb}
{hurry Verb}
{hurt Verb}
{identify Verb}
{ignore Verb}
{illustrate Verb}
{imagine Verb}
{implement Verb}
{imply Verb}
{import Verb}
{impose Verb}
{impress Verb}
{improve Verb}
{include Verb}
{incorporate Verb}
{increase Verb}
{indicate Verb}
{induce Verb}
{influence Verb}
{inform Verb}
{initiate Verb}
{inject Verb}
{injure Verb}
{inquire Verb}
{insist Verb}
{inspect Verb}
{inspire Verb}
{install Verb}
{instruct Verb}
{insure Verb}
{integrate Verb}
{intend Verb}
{interact Verb}
{interest Verb}
{accepting Verb}
{achieving Verb}
{acting Verb}
{adding Verb}
{adjusting Verb}
{admiring Verb}
{admitting Verb}
{adopting Verb}
{advancing Verb}
{advertising Verb}
{advising Verb}
{affording Verb}
{agreeing Verb}
{allowing Verb}
{analyzing Verb}
{announcing Verb}
{answering Verb}
{apologizing Verb}
{appearing Verb}
{applying Verb}
{appreciating Verb}
{approving Verb}
{arguing Verb}
{arising Verb}
{arranging Verb}
{arriving Verb}
{asking Verb}
{assessing Verb}
{assigning Verb}
{assisting Verb}
{associating Verb}
{assuming Verb}
{attaching Verb}
{attempting Verb}
{attending Verb}
{attracting Verb}
{avoiding Verb}
{awaking Verb}
{baking Verb}
{balancing Verb}
{banning Verb}
{basing Verb}
{bathing Verb}
{being Verb}
{beaming Verb}
{bearing Verb}
{beating Verb}
{becoming Verb}
{behaving Verb}
{believing Verb}
{belonging Verb}
{bending Verb}
{betting Verb}
{binding Verb}
{biting Verb}
{blowing Verb}
{boiling Verb}
{breaking Verb}
{breeding Verb}
{bringing Verb}
{broadcasting Verb}
{building Verb}
{burning Verb}
{bursting Verb}
{burying Verb}
{buying Verb}
{calculating Verb}
{calling Verb}
{caring Verb}
{carrying Verb}
{catching Verb}
{causing Verb}
{celebrating Verb}
{centering Verb}
{challenging Verb}
{changing Verb}
{charging Verb}
{checking Verb}
{choosing Verb}
{claiming Verb}
{climbing Verb}
{closing Verb}
{coaching Verb}
{collecting Verb}
{combining Verb}
{coming Verb}
{comforting Verb}
{committing Verb}
{communicating Verb}
{comparing Verb}
{competing Verb}
{complaining Verb}
{completing Verb}
{composing Verb}
{concentrating Verb}
{concerning Verb}
{concluding Verb}
{conducting Verb}
{confessing Verb}
{confirming Verb}
{connecting Verb}
{considering Verb}
{consisting Verb}
{constituting Verb}
{constructing Verb}
{consulting Verb}
{containing Verb}
{continuing Verb}
{contributing Verb}
{controlling Verb}
{converting Verb}
{cooking Verb}
{coping Verb}
{copying Verb}
{correcting Verb}
{costing Verb}
{counting Verb}
{covering Verb}
{cracking Verb}
{crashing Verb}
{creating Verb}
{crossing Verb}
{crying Verb}
{cutting Verb}
{damaging Verb}
{dancing Verb}
{daring Verb}
{dealing Verb}
{debating Verb}
{deciding Verb}
{declaring Verb}
{decorating Verb}
{decreasing Verb}
{deferring Verb}
{defining Verb}
{delaying Verb}
{delivering Verb}
{demanding Verb}
{demonstrating Verb}
{depending Verb}
{describing Verb}
{deserving Verb}
{designing Verb}
{desiring Verb}
{destroying Verb}
{detailing Verb}
{detecting Verb}
{determining Verb}
{developing Verb}
{devoting Verb}
{dying Verb}
{differing Verb}
{digging Verb}
{diminishing Verb}
{directing Verb}
{disagreeing Verb}
{disappearing Verb}
{disapproving Verb}
{discharging Verb}
{discovering Verb}
{discussing Verb}
{displaying Verb}
{distinguishing Verb}
{distributing Verb}
{disturbing Verb}
{diving Verb}
{dividing Verb}
{doing Verb}
{dominating Verb}
{doubling Verb}
{doubting Verb}
{dragging Verb}
{drawing Verb}
{dreaming Verb}
{dressing Verb}
{drinking Verb}
{driving Verb}
{dropping Verb}
{drying Verb}
{earning Verb}
{eating Verb}
{echoing Verb}
{editing Verb}
{educating Verb}
{effecting Verb}
{electing Verb}
{eliminating Verb}
{embarking Verb}
{embracing Verb}
{employing Verb}
{empowering Verb}
{emptying Verb}
{enabling Verb}
{encouraging Verb}
{ending Verb}
{engaging Verb}
{enhancing Verb}
{enjoying Verb}
{enlarging Verb}
{enrolling Verb}
{ensuring Verb}
{entering Verb}
{establishing Verb}
{estimating Verb}
{evaluating Verb}
{evolving Verb}
{examining Verb}
{exceeding Verb}
{exchanging Verb}
{exciting Verb}
{excusing Verb}
{executing Verb}
{exercising Verb}
{exhibiting Verb}
{existing Verb}
{expanding Verb}
{expecting Verb}
{expelling Verb}
{experiencing Verb}
{experimenting Verb}
{explaining Verb}
{exploring Verb}
{expressing Verb}
{extending Verb}
{facing Verb}
{facilitating Verb}
{fading Verb}
{failing Verb}
{fainting Verb}
{falling Verb}
{faring Verb}
{farming Verb}
{fastening Verb}
{favoring Verb}
{fearing Verb}
{feeding Verb}
{feeling Verb}
{fetching Verb}
{fighting Verb}
{figuring Verb}
{filling Verb}
{financing Verb}
{finding Verb}
{finishing Verb}
{fitting Verb}
{fixing Verb}
{flashing Verb}
{fleeing Verb}
{floating Verb}
{flooding Verb}
{flowing Verb}
{flying Verb}
{folding Verb}
{following Verb}
{forbidding Verb}
{forcing Verb}
{forecasting Verb}
{forgetting Verb}
{forgiving Verb}
{forming Verb}
{formulating Verb}
{fostering Verb}
{founding Verb}
{framing Verb}
{freezing Verb}
{fulfilling Verb}
{functioning Verb}
{funding Verb}
{gaining Verb}
{gathering Verb}
{gazing Verb}
{generating Verb}
{getting Verb}
{giving Verb}
{glancing Verb}
{going Verb}
{grabbing Verb}
{grading Verb}
{granting Verb}
{greeting Verb}
{grinning Verb}
{gripping Verb}
{growing Verb}
{guaranteeing Verb}
{guarding Verb}
{guessing Verb}
{guiding Verb}
{handling Verb}
{happening Verb}
{harassing Verb}
{harming Verb}
{harnessing Verb}
{hating Verb}
{hauling Verb}
{having Verb}
{heading Verb}
{healing Verb}
{hearing Verb}
{heating Verb}
{helping Verb}
{hesitating Verb}
{hiding Verb}
{highlighting Verb}
{hindering Verb}
{hiring Verb}
{hitting Verb}
{holding Verb}
{honoring Verb}
{hoping Verb}
{hosting Verb}
{housing Verb}
{hugging Verb}
{hurrying Verb}
{hurting Verb}
{identifying Verb}
{ignoring Verb}
{illustrating Verb}
{imagining Verb}
{implementing Verb}
{implying Verb}
{importing Verb}
{imposing Verb}
{impressing Verb}
{improving Verb}
{including Verb}
{incorporating Verb}
{increasing Verb}
{indicating Verb}
{inducing Verb}
{influencing Verb}
{informing Verb}
{initiating Verb}
{injecting Verb}
{injuring Verb}
{inquiring Verb}
{insisting Verb}
{inspecting Verb}
{inspiring Verb}
{installing Verb}
{instructing Verb}
{insuring Verb}
{integrating Verb}
{intending Verb}
{interacting Verb}
{interesting Verb}
{apple Noun}
{banana Noun}
{car Noun}
{dog Noun}
{elephant Noun}
{flower Noun}
{girl Noun}
{house Noun}
{idea Noun}
{jacket Noun}
{kite Noun}
{lion Noun}
{mountain Noun}
{notebook Noun}
{ocean Noun}
{pencil Noun}
{queen Noun}
{river Noun}
{sun Noun}
{tree Noun}
{umbrella Noun}
{vase Noun}
{window Noun}
{xylophone Noun}
{yacht Noun}
{zebra Noun}
{ball Noun}
{cat Noun}
{desk Noun}
{egg Noun}
{fish Noun}
{guitar Noun}
{hat Noun}
{ice cream Noun}
{jungle Noun}
{key Noun}
{laptop Noun}
{moon Noun}
{necklace Noun}
{oil Noun}
{piano Noun}
{quilt Noun}
{rocket Noun}
{star Noun}
{table Noun}
{umbrella Noun}
{violin Noun}
{watch Noun}
{x-ray Noun}
{yogurt Noun}
{zeppelin Noun}
{I Pronoun}
{you Pronoun}
{he Pronoun}
{she Pronoun}
{it Pronoun}
{we Pronoun}
{they Pronoun}
{me Pronoun}
{him Pronoun}
{her Pronoun}
{us Pronoun}
{them Pronoun}
{myself Pronoun}
{yourself Pronoun}
{himself Pronoun}
{herself Pronoun}
{itself Pronoun}
{ourselves Pronoun}
{yourselves Pronoun}
{themselves Pronoun}
{this Pronoun}
{that Pronoun}
{these Pronoun}
{those Pronoun}
{anyone Pronoun}
{someone Pronoun}
{everyone Pronoun}
{everything Pronoun}
{nothing Pronoun}
{anybody Pronoun}
{somebody Pronoun}
{everybody Pronoun}
{nobody Pronoun}
{anything Pronoun}
{something Pronoun}
{everything Pronoun}
{nothing Pronoun}
{anywhere Pronoun}
{somewhere Pronoun}
{everywhere Pronoun}
{nowhere Pronoun}
{any Pronoun}
{some Pronoun}
{all Pronoun}
{none Pronoun}
{both Pronoun}
{either Pronoun}
{neither Pronoun}
{few Pronoun}
{several Pronoun}
{many Pronoun}
{much Pronoun}
{more Pronoun}
{most Pronoun}
{fewer Pronoun}
{lesser Pronoun}
{fewest Pronoun}
